"Participant_A" "Participant_B"
2397 0
2154 0
1886 2
1622 0
1458 35825
1106 35765
636 6157
406 0
548 0
808 0
1121 0
1030 0
944 0
1118 0
1373 0
1204 0
764 36206
364 0
230 32052
397 12436
534 12520
587 12512
215 38790
11 0
54 0
40 0
238 0
402 0
325 0
551 26539
670 42152
859 41126
1314 42995
1480 0
1085 0
640 0
454 0
590 0
1114 0
1359 34455
653 0
90 39205
54 8636
77 19603
352 23058
416 34499
147 0
25 21826
54 0
55 32102
74 28750
72 28802
8 25445
1 25201
22 2071
0 2780
0 3408
0 13536
0 0
0 0
0 13320
0 0
0 18504
0 17537
0 19015
0 2912
0 2427
0 2048
1 1608
14 13659
54 4994
82 12387
84 10458
52 10866
27 8697
16 9852
5 492
1 0
0 492
0 0
0 492
0 0
44 6373
54 0
17 9902
10 8085
10 9416
11 7543
49 9053
57 7501
78 9415
119 1329
148 1129
75 0
38 0
5 4827
2 9853
1 12325
49 10958
235 13940
651 12618
982 807
941 15780
849 1995
855 2443
967 2867
1063 15856
1171 18642
1123 17008
1044 19471
1132 17790
1175 20389
1029 3856
825 4305
589 4740
525 20108
356 23036
174 21404
172 3083
178 24222
199 22772
380 24705
375 5167
269 14844
234 0
282 1699
330 0
415 1699
424 19524
505 5317
393 5167
248 15796
128 10334
115 10075
76 0
0 1
9 0
34 1058
425 0
551 4846
222 4241
207 25
480 0
970 2044
1311 0
1224 8845
1121 9194
1095 11741
763 1394
706 1181
484 0
194 0
234 0
368 0
917 0
1632 2765
1697 5484
1561 12600
1630 1880
2007 1752
2266 10410
2219 7819
1595 8195
1077 0
779 768
800 0
893 0
671 0
86 0
92 0
95 0
152 0
231 0
414 1750
718 2953
702 0
292 5242
401 6
614 2663
798 7744
707 0
1250 7071
1678 0
1600 0
1576 0
1717 0
1633 1083
1090 0
948 3749
1180 6515
1374 5318
1283 213
1114 0
1005 3632
1043 0
1200 7113
1251 428
1019 550
771 6978
693 213
813 8700
969 7420
994 9656
817 0
617 8456
328 0
173 11442
101 13461
43 1802
25 1203
136 13163
213 14456
194 12893
368 3075
720 13362
936 1344
857 9564
779 11100
761 4224
955 5712
1089 6452
945 0
644 13836
363 0
414 1586
619 2703
958 16833
960 4964
782 13945
593 16851
703 2010
764 2048
712 3180
551 14167
334 0
299 10279
530 0
751 13064
681 11874
444 14230
339 3346
306 12745
334 14844
356 10339
345 3346
373 8904
316 12278
303 5916
313 11770
352 16125
500 12599
612 14371
619 2528
519 2075
381 687
374 1208
700 1998
1061 1813
1006 2108
562 1691
287 465
223 25
302 114
425 504
330 455
23 384
41 300
65 83
31 2642
69 4350
37 215
2 51
73 159
209 69
55 1099
16 51
32 159
5 3545
75 357
156 391
33 398
13 647
54 1134
8 1395
0 1184
1 1131
3 6169
9 10242
148 878
74 658
0 572
0 581
1 355
1 3588
139 6117
254 3833
33 5530
0 4522
0 233
13 344
59 509
259 2743
41 5086
55 3100
135 4783
34 321
93 433
170 308
28 453
269 390
354 2659
68 5847
49 804
86 886
24 1087
175 1288
102 1366
20 1208
77 1017
128 830
27 763
31 866
26 684
7 4783
16 6885
2 2931
4 3403
2 431
5 769
2 585
3 625
0 573
0 2969
1 5883
2 1128
0 1051
0 1178
0 1329
5 1304
5 1334
0 1091
2 1113
1 1336
0 1725
0 1765
4 1362
0 925
13 672
65 594
0 524
0 388
0 344
2 303
0 277
39 250
200 404
11 465
12 476
13 555
0 625
48 1171
82 1568
0 1357
8 792
1 343
0 179
0 216
0 198
0 138
26 119
2 61
12 36
25 26
12 883
1 2943
0 98
0 1549
0 3646
3 176
3 295
1 454
1 695
2 736
0 623
0 4131
0 6655
0 272
7 229
49 327
6 366
0 357
0 335
0 212
0 135
5 90
0 112
0 123
8 155
0 286
0 375
0 279
0 148
0 2731
1 4190
0 58
0 1451
0 2937
0 3
0 2
1 7
0 47
14 340
35 1162
12 2244
7 3093
29 3496
10 3695
3 4526
18 5752
43 6187
58 5903
13 4894
5 3553
2 2348
13 1250
17 528
0 571
0 1316
0 1773
0 2056
0 2216
2 2221
49 1956
0 6847
0 2216
0 2221
0 1956
0 1811
0 1574
0 7059
0 918
7 1028
0 4131
0 6587
0 551
0 668
1 827
5 694
0 3512
0 668
0 827
0 694
0 600
1 5073
0 436
0 322
0 141
0 100
0 200
0 239
0 1931
0 100
0 200
0 239
0 138
0 96
0 76
0 51
0 2909
0 19
0 32
0 3
0 1217
0 19
0 366
0 1870
0 332
0 1363
0 4
0 41
0 332
0 263
0 52
0 69
0 123
0 130
0 92
0 67
0 45
0 13
0 4
0 1
0 4
0 0
0 0
0 4
0 208
0 662
0 881
10 857
