,id,number_mutual_gaze,time_mutual_gaze,duration_mutual_gaze
0,s1_0ms_1080p.csv,35,2108,60.22857143
1,s5_0ms_1080p.csv,18,580,32.22222222
2,s7_0ms_1080p.csv,18,657,36.5
3,s9_0ms_1080p.csv,18,578,32.11111111
4,s11_0ms_1080p.csv,15,437,29.13333333
5,s13_0ms_1080p.csv,31,1228,39.61290323
6,s15_0ms_1080p.csv,25,1108,44.32
7,s19_0ms_1080p.csv,33,1176,35.63636364
8,s21_0ms_1080p.csv,31,805,25.96774194
9,s23_0ms_1080p.csv,6,93,15.5
10,s25_0ms_1080p.csv,19,384,20.21052632
11,s27_0ms_1080p.csv,25,759,30.36
12,s29_0ms_1080p.csv,28,1355,48.39285714
13,s31_0ms_1080p.csv,27,894,33.11111111
14,s35_0ms_1080p.csv,11,667,60.63636364
15,s37_0ms_1080p.csv,29,1426,49.17241379
16,s39_0ms_1080p.csv,15,447,29.8
17,s41_0ms_1080p.csv,24,903,37.625
18,s43_0ms_1080p.csv,22,965,43.86363636
19,s45_0ms_1080p.csv,25,576,23.04
